title,release_date,release_year,revenue,genres
The Bodyguard,1992-11-25,1992,411006740,"['Thriller', 'Action', 'Drama', 'Music', 'Romance']"
Ghostbusters,1984-06-07,1984,295212467,"['Comedy', 'Fantasy']"
Grease,1978-07-07,1978,181813770,['Romance']
A Fish Called Wanda,1988-07-15,1988,62493712,"['Comedy', 'Crime']"
Easy Rider,1969-05-07,1969,0,"['Adventure', 'Drama']"
Interview with the Vampire,1994-11-11,1994,223664608,"['Horror', 'Romance']"
The Usual Suspects,1995-07-19,1995,23341568,"['Drama', 'Crime', 'Thriller']"
The Wizard of Oz,1939-08-15,1939,33754967,"['Adventure', 'Family', 'Fantasy']"
Sunrise: A Song of Two Humans,1927-11-04,1927,121,"['Drama', 'Romance']"
Stalag 17,1953-05-29,1953,0,"['Comedy', 'Drama', 'War']"
Bridget Jones's Diary,2001-04-13,2001,281929795,"['Comedy', 'Romance', 'Drama']"
